@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp
ID,
Type,Date
Format,yyyy-MM-dd HH:mm
2018-05-27 16:00,-0.005186979870186723
2018-05-27 17:00,-0.005126448770220629
2018-05-27 18:00,-0.0049843863580142506
2018-05-27 19:00,-0.00476763909998508
2018-05-27 20:00,-0.004621778362832479
2018-05-27 21:00,-0.00432979836856906
2018-05-27 22:00,-0.0039927495745464975
2018-05-27 23:00,-0.0036777811464297205
2018-05-28 00:00,-0.0033762963176603433
2018-05-28 01:00,-0.0030800898924794734
2018-05-28 02:00,-0.002793341440452443
2018-05-28 03:00,-0.002502164335612067
2018-05-28 04:00,-0.002226281450518064
2018-05-28 05:00,-0.001953135942575304
2018-05-28 06:00,-0.0017115190316695228
2018-05-28 07:00,-0.0014822556787868896
2018-05-28 08:00,-0.0013109727921095105
2018-05-28 09:00,-0.001203055983438811
2018-05-28 10:00,-0.0011603917437475186
2018-05-28 11:00,-0.0012041295573430727
2018-05-28 12:00,-0.001318712428452079
2018-05-28 13:00,-0.001443786181657039
2018-05-28 14:00,-0.0016507379353242202
2018-05-28 15:00,-0.0018475592555479703
2018-05-28 16:00,-0.0020521287216442724
2018-05-28 17:00,-0.002213930662457425
2018-05-28 18:00,-0.002276453073249113
2018-05-28 19:00,-0.0022774262846358417
2018-05-28 20:00,-0.0023064554192464837
2018-05-28 21:00,-0.0023234452182812615
2018-05-28 22:00,-0.0023227955177528986
2018-05-28 23:00,-0.0022988992949734693
2018-05-29 00:00,-0.0022768689707708817
2018-05-29 01:00,-0.0022671456943501728
2018-05-29 02:00,-0.002232541241717678
2018-05-29 03:00,-0.002172051008143258
2018-05-29 04:00,-0.0021080612127633153
2018-05-29 05:00,-0.002047031660217663
2018-05-29 06:00,-0.0020100948478761066
2018-05-29 07:00,-0.0019937392121984338
2018-05-29 08:00,-0.002025728810021582
2018-05-29 09:00,-0.0021112501523731786
2018-05-29 10:00,-0.0022618850385081185
2018-05-29 11:00,-0.002553990944651377
2018-05-29 12:00,-0.0029003701322368736
2018-05-29 13:00,-0.003261613907780306
2018-05-29 14:00,-0.003636608998921681
2018-05-29 15:00,-0.004024351772686632
2018-05-29 16:00,-0.004418968419542146
2018-05-29 17:00,-0.004808406310061894
2018-05-29 18:00,-0.005105411322850972
2018-05-29 19:00,-0.005303613738474364
2018-05-29 20:00,-0.00547605025621338
2018-05-29 21:00,-0.0055710716282957595
2018-05-29 22:00,-0.005682866824815863
2018-05-29 23:00,-0.005779194886467026
2018-05-30 00:00,-0.005845559415165166
2018-05-30 01:00,-0.005907382869684993
2018-05-30 02:00,-0.005968791722979941
2018-05-30 03:00,-0.006029441551607284
2018-05-30 04:00,-0.00609004556720831
2018-05-30 05:00,-0.006150605985417182
2018-05-30 06:00,-0.0062307592720432375
2018-05-30 07:00,-0.006338646425079905
2018-05-30 08:00,-0.006489010371316509
2018-05-30 09:00,-0.006702866996039308
2018-05-30 10:00,-0.006970847049116158
2018-05-30 11:00,-0.007304100610795547
2018-05-30 12:00,-0.007655271316985804
2018-05-30 13:00,-0.008006527507619862
2018-05-30 14:00,-0.008311581035281401
2018-05-30 15:00,-0.008629573593153778
2018-05-30 16:00,-0.008792238815308967
2018-05-30 17:00,-0.009032760568795511
2018-05-30 18:00,-0.009214540978058947
2018-05-30 19:00,-0.009308709274280513
2018-05-30 20:00,-0.00935851681860285
2018-05-30 21:00,-0.009376486081096369
2018-05-30 22:00,-0.009365001866375802
2018-05-30 23:00,-0.009345416615159516
2018-05-31 00:00,-0.00932053563577788
2018-05-31 01:00,-0.009293635217812152
2018-05-31 02:00,-0.009267943076257917
2018-05-31 03:00,-0.00924272651170989
2018-05-31 04:00,-0.009216837887498663
2018-05-31 05:00,-0.009191548680140493
2018-05-31 06:00,-0.009183095696828514
2018-05-31 07:00,-0.00921000391355467
2018-05-31 08:00,-0.009283319046040434
2018-05-31 09:00,-0.009399691196791127
2018-05-31 10:00,-0.009593008128813196
2018-05-31 11:00,-0.009853238391837577
2018-05-31 12:00,-0.010188305523604849
2018-05-31 13:00,-0.010555523756672708
2018-05-31 14:00,-0.010920122550970135
2018-05-31 15:00,-0.01109771256253235
2018-05-31 16:00,-0.011217498073832446
2018-05-31 17:00,-0.011331657513542454
2018-05-31 18:00,-0.011388298454892518
2018-05-31 19:00,-0.011444410935182087
2018-05-31 20:00,-0.011429075324046564
2018-05-31 21:00,-0.011401509368246479
2018-05-31 22:00,-0.011376561081596806
2018-05-31 23:00,-0.011350782200211573
2018-06-01 00:00,-0.011324604032334346
2018-06-01 01:00,-0.011297366559246569
2018-06-01 02:00,-0.01127486570896627
2018-06-01 03:00,-0.011249999756111267
2018-06-01 04:00,-0.01122111968555213
2018-06-01 05:00,-0.011192019207261067
2018-06-01 06:00,-0.011177180317293006
2018-06-01 07:00,-0.011185497991958351
2018-06-01 08:00,-0.011247311678481212
2018-06-01 09:00,-0.011388525773898997
2018-06-01 10:00,-0.011646925604101355
2018-06-01 11:00,-0.011959669647540028
2018-06-01 12:00,-0.01231188374649353
2018-06-01 13:00,-0.012692493037246955
2018-06-01 14:00,-0.013136789667967455
2018-06-01 15:00,-0.013559178911409786
2018-06-01 16:00,-0.013941273824390879
2018-06-01 17:00,-0.01426492779228404
2018-06-01 18:00,-0.0145206287461951
2018-06-01 19:00,-0.014698412011414641
2018-06-01 20:00,-0.014779784631914109
2018-06-01 21:00,-0.014844159804270202
2018-06-01 22:00,-0.01492442152147741
2018-06-01 23:00,-0.014966404996336585
2018-06-02 00:00,-0.014981770220714258
2018-06-02 01:00,-0.014992404367083642
2018-06-02 02:00,-0.015010831153190657
2018-06-02 03:00,-0.015018459415634192
2018-06-02 04:00,-0.015024052199538881
2018-06-02 05:00,-0.015021628622191807
2018-06-02 06:00,-0.015035726801128343
2018-06-02 07:00,-0.015082274362755277
2018-06-02 08:00,-0.015212358965943085
2018-06-02 09:00,-0.015456492899906166
2018-06-02 10:00,-0.015772013427256343
2018-06-02 11:00,-0.016132355401120527
2018-06-02 12:00,-0.016507161532223077
2018-06-02 13:00,-0.016905309341535446
2018-06-02 14:00,-0.017315587125697057
2018-06-02 15:00,-0.017757499038042038
2018-06-02 16:00,-0.018188324141411125
2018-06-02 17:00,-0.0184744974921143
2018-06-02 18:00,-0.018698370503630657
2018-06-02 19:00,-0.018862979603781985
2018-06-02 20:00,-0.019004673574445477
2018-06-02 21:00,-0.019110685675049047
2018-06-02 22:00,-0.019194378448559327
2018-06-02 23:00,-0.019290622160762355
2018-06-03 00:00,-0.019388137834602845
2018-06-03 01:00,-0.019451180564027865
2018-06-03 02:00,-0.019496336691496766
2018-06-03 03:00,-0.01952896853204493
2018-06-03 04:00,-0.01956169733260718
2018-06-03 05:00,-0.019585150042511573
2018-06-03 06:00,-0.019626499173102246
2018-06-03 07:00,-0.019686542983349126
2018-06-03 08:00,-0.019806835125840347
2018-06-03 09:00,-0.01997746514676753
